iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.124879170534,0.128242499523,0.125436385759,0.652839821315,0.644132653061,0.659183673469,0.781963927856,0.77554304103,0.783958602846,0.00428220000001
10,0.126657779944,0.129030784239,0.126339195637,0.652520740268,0.641581632653,0.654081632653,0.784825133373,0.777513855899,0.785034876347,0.0444458
20,0.1261110515,0.128415645206,0.125993474728,0.664645820038,0.65943877551,0.662244897959,0.796829692635,0.793183578621,0.795046439628,0.0822168
30,0.126827773867,0.131151458426,0.126971132031,0.663050414805,0.654336734694,0.65612244898,0.795110593714,0.788446526151,0.790813159528,0.1298614
40,0.12659059127,0.130340198565,0.126938616268,0.664645820038,0.669642857143,0.65612244898,0.794926829268,0.796862745098,0.789243277048,0.1692068
50,0.125587245831,0.129166984604,0.12566080422,0.664326738992,0.665816326531,0.657142857143,0.794290183809,0.794025157233,0.788944723618,0.2164972
60,0.125418971371,0.129052091834,0.125523845945,0.664645820038,0.660714285714,0.657142857143,0.794525904203,0.791208791209,0.788944723618,0.2540782
70,0.122833589662,0.125831826048,0.123707671201,0.665283982131,0.667091836735,0.658163265306,0.796112730807,0.796570537802,0.791537025513,0.3053737
80,0.121885680461,0.125673490661,0.122544681189,0.665603063178,0.664540816327,0.65612244898,0.789219629928,0.786699107867,0.780456026059,0.356197
90,0.12091552053,0.124628991104,0.121853320954,0.666241225271,0.673469387755,0.661224489796,0.792789223455,0.7952,0.787994891443,0.4009583
100,0.119615582879,0.123102743842,0.12079338504,0.672303765156,0.677295918367,0.667346938776,0.796915167095,0.798084596967,0.791293213828,0.4390652
110,0.121182396519,0.124174397922,0.122043892916,0.667198468411,0.679846938776,0.657142857143,0.795450088253,0.801581027668,0.78814627995,0.4799612
120,0.11717856433,0.121555926756,0.118653031726,0.677089980855,0.678571428571,0.663265306122,0.792707906596,0.792421746293,0.782608695652,0.5191131
130,0.116698665589,0.121676605911,0.118469677164,0.663688576899,0.663265306122,0.652040816327,0.776030599235,0.777403035413,0.769750168805,0.559361
140,0.114496417858,0.119293220916,0.116141359379,0.66911295469,0.661989795918,0.660204081633,0.780063626723,0.774468085106,0.774542992552,0.5947829
150,0.114041831305,0.118508733576,0.115943341024,0.67102744097,0.670918367347,0.662244897959,0.782535330099,0.782094594595,0.776200135227,0.6304211
160,0.113390724807,0.11800413175,0.115582416662,0.675175494576,0.673469387755,0.668367346939,0.78720735786,0.786310517529,0.782317481581,0.6646812
170,0.113278990588,0.117836597319,0.115427315232,0.674537332482,0.678571428571,0.668367346939,0.785172704297,0.787162162162,0.781439139206,0.7041572
180,0.111657354435,0.116534901874,0.114152994193,0.676132737715,0.674744897959,0.670408163265,0.787612471228,0.785172704297,0.784235136941,0.738496
190,0.108430598266,0.110173869605,0.111240369184,0.667198468411,0.670918367347,0.672448979592,0.784102670255,0.784641068447,0.786710963455,0.7848966
200,0.107729672301,0.109475804117,0.110603371363,0.664964901085,0.664540816327,0.665306122449,0.781613976705,0.776929601357,0.781914893617,0.8237399
210,0.105256175972,0.106790741603,0.108237030195,0.670389278877,0.664540816327,0.661224489796,0.779509071505,0.771503040834,0.775067750678,0.8595542
220,0.10432598475,0.105858846297,0.107355631222,0.668474792597,0.669642857143,0.666326530612,0.779077184776,0.776531492666,0.778904665314,0.9049577
230,0.104099337538,0.105958657296,0.107167048413,0.667198468411,0.672193877551,0.668367346939,0.777943368107,0.77863910422,0.780256930358,0.9744869
240,0.102571355294,0.103995971793,0.106010652693,0.679642629228,0.683673469388,0.676530612245,0.788185654008,0.787671232877,0.785665990534,1.0129487
250,0.102176357874,0.10288371896,0.105317623101,0.677728142948,0.686224489796,0.677551020408,0.784923339012,0.787931034483,0.784447476126,1.0517618
260,0.1011025011,0.102121214726,0.104489804967,0.68506700702,0.683673469388,0.684693877551,0.789865871833,0.786574870912,0.789938817131,1.100474
270,0.101346629196,0.101945639346,0.104438855253,0.677089980855,0.684948979592,0.679591836735,0.778652668416,0.781994704325,0.78041958042,1.1434136
280,0.0994718901167,0.100005676806,0.102966939055,0.687938736439,0.690051020408,0.683673469388,0.794710327456,0.793893129771,0.792225201072,1.1782978
290,0.0995095816499,0.0993624329895,0.102187738886,0.68410976388,0.696428571429,0.675510204082,0.792539815591,0.798646362098,0.787716955941,1.2136674
300,0.0982559704408,0.0984393799462,0.10200934695,0.686981493299,0.692602040816,0.686734693878,0.795241077019,0.796624472574,0.794648829431,1.2497873
310,0.0979648745349,0.0983016714249,0.101674571961,0.688576898532,0.69387755102,0.687755102041,0.796920516022,0.796610169492,0.794630872483,1.286096
320,0.0979348068633,0.0983449453771,0.102049584492,0.689215060625,0.700255102041,0.680612244898,0.795635753252,0.799658994032,0.789225589226,1.3230117
330,0.0953376199978,0.0955841643939,0.0990659653076,0.69719208679,0.702806122449,0.683673469388,0.79165751921,0.792888888889,0.783821478382,1.3703801
340,0.0950656070377,0.0955756651094,0.098756714799,0.698787492023,0.707908163265,0.682653061224,0.792891619131,0.796805678793,0.783877692842,1.4062688
350,0.0947025602593,0.0953284720226,0.0985999833529,0.699425654116,0.700255102041,0.682653061224,0.794143356643,0.79295154185,0.78566505858,1.4608692
360,0.0944739796033,0.0952723038746,0.0982008815545,0.696873005743,0.707908163265,0.680612244898,0.792395104895,0.798592788039,0.784286698828,1.4958236
370,0.0940774553567,0.0944352190164,0.097779316623,0.701021059349,0.711734693878,0.685714285714,0.793748624257,0.80035335689,0.786111111111,1.5311569
