iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.136258524277,0.136739803715,0.141562187773,0.676132737715,0.676020408163,0.666326530612,0.799605133268,0.798412698413,0.793690851735,0.0418292
10,0.0842408311684,0.0917998376138,0.0961394044321,0.752393107849,0.727040816327,0.713265306122,0.822911912369,0.804744525547,0.797111913357,0.1764429
20,0.0759982915755,0.0834588704331,0.0908939353719,0.776324186343,0.74362244898,0.742857142857,0.838590835828,0.814061054579,0.814159292035,0.2815533
30,0.0725960009455,0.0804536721044,0.087613638828,0.794192724952,0.753826530612,0.745918367347,0.851690043688,0.820798514392,0.816777041943,0.3794863
40,0.0708025520893,0.0791790040334,0.0863253822487,0.796426292278,0.766581632653,0.752040816327,0.850725315863,0.82654028436,0.818249813014,0.5352712
50,0.0693518121997,0.0786023052092,0.0860507153339,0.808551372049,0.762755102041,0.765306122449,0.861367837338,0.827137546468,0.830383480826,0.6373669
60,0.0684662975031,0.078435690912,0.0857123535169,0.811423101468,0.764030612245,0.759183673469,0.863099374566,0.828226555246,0.825443786982,0.7415003
70,0.0676569118921,0.0783805566282,0.0858194130005,0.811742182514,0.764030612245,0.757142857143,0.862918215613,0.826941066417,0.823442136499,0.8365583
80,0.0667984116337,0.0779733443235,0.0861852537601,0.815252074027,0.765306122449,0.758163265306,0.865317515701,0.827067669173,0.823791821561,0.9259319
90,0.0660428513448,0.0789572983583,0.0874626874465,0.81589023612,0.764030612245,0.75,0.866032040864,0.825636192271,0.818114328137,1.024839
100,0.0655890464304,0.0782176224817,0.0878937458724,0.818123803446,0.761479591837,0.747959183673,0.867565055762,0.823751178134,0.816083395383,1.116362
110,0.0651762263164,0.0779935460283,0.087637189872,0.81684747926,0.766581632653,0.748979591837,0.866697631212,0.827845719661,0.816691505216,1.2085771
120,0.0648273853098,0.0778099533714,0.0872702683207,0.814294830887,0.762755102041,0.752040816327,0.865340120315,0.824528301887,0.819330855019,1.2992209
130,0.0644669104444,0.0776811852386,0.0875166925015,0.817485641353,0.766581632653,0.752040816327,0.867285382831,0.827845719661,0.818791946309,1.3971741
140,0.0641659414123,0.0780334455414,0.0877602946937,0.817804722399,0.766581632653,0.75306122449,0.867301882408,0.827521206409,0.818862275449,1.4852022
150,0.0640439189289,0.0782949360616,0.0875745256991,0.818123803446,0.767857142857,0.751020408163,0.867318435754,0.829268292683,0.817365269461,1.5747415
160,0.0638244970825,0.0783690100094,0.0876637729698,0.819719208679,0.770408163265,0.75306122449,0.868939921132,0.832089552239,0.81994047619,1.6645672
170,0.0636088120389,0.0783835879728,0.0875104150289,0.819719208679,0.770408163265,0.751020408163,0.868512915988,0.830827067669,0.817365269461,1.7518219
180,0.0634627245499,0.0784216619626,0.0873341855488,0.819719208679,0.771683673469,0.754081632653,0.868512915988,0.831924882629,0.819745699327,1.8422798
190,0.0632809599852,0.0783066651745,0.087599454175,0.820995532865,0.770408163265,0.751020408163,0.869139258223,0.830827067669,0.816816816817,1.9374316
200,0.063059289138,0.078441311211,0.0879801363922,0.820676451819,0.769132653061,0.75,0.869484440316,0.830682881197,0.816753926702,2.0246033
210,0.0629058627746,0.0785592747082,0.0880039193246,0.820995532865,0.771683673469,0.75306122449,0.869383003492,0.831608654751,0.818590704648,2.1093364
220,0.0627734778095,0.0786199839983,0.0879397907566,0.821952776005,0.771683673469,0.751020408163,0.870413376684,0.832239925023,0.817638266069,2.1934354
230,0.0626762281928,0.0785871819384,0.087865949447,0.823229100191,0.770408163265,0.75306122449,0.870802238806,0.830508474576,0.818318318318,2.281721
240,0.0625653694624,0.0783706458872,0.0878888659329,0.823229100191,0.772959183673,0.75306122449,0.871222687122,0.833333333333,0.818862275449,2.3722106
250,0.0624495885785,0.0784595602922,0.0876432347697,0.823229100191,0.767857142857,0.75306122449,0.87104283054,0.829268292683,0.818862275449,2.4559731
260,0.0623222003631,0.078176223315,0.0874159729881,0.822910019145,0.770408163265,0.754081632653,0.870900209351,0.831460674157,0.819475655431,2.5409847
270,0.0622092104431,0.0780100943188,0.0875017226864,0.823867262285,0.770408163265,0.759183673469,0.871747211896,0.831460674157,0.823088455772,2.6293844
280,0.0621228856719,0.0781115597334,0.0873915284589,0.823229100191,0.770408163265,0.757142857143,0.870922646785,0.831144465291,0.821321321321,2.7209459
290,0.0620277091478,0.078133819971,0.0873991475995,0.823867262285,0.770408163265,0.757142857143,0.871328671329,0.831144465291,0.821321321321,2.8100312
300,0.0619867675651,0.0783650977113,0.0873575722497,0.821952776005,0.766581632653,0.754081632653,0.869382022472,0.827845719661,0.818660647103,2.9001625
310,0.0618453821707,0.0782062214786,0.0872362142122,0.824505424378,0.765306122449,0.758163265306,0.871794871795,0.827392120075,0.822205551388,2.995428
320,0.0617535021501,0.0781587807142,0.087301938594,0.824505424378,0.765306122449,0.759183673469,0.871435250117,0.827067669173,0.822556390977,3.0861457
330,0.0616802046103,0.0780870170465,0.0872959631244,0.825143586471,0.765306122449,0.757142857143,0.871962616822,0.827067669173,0.821321321321,3.1777467
340,0.0615893531055,0.0782263364818,0.0867775766142,0.825143586471,0.761479591837,0.758163265306,0.87202241943,0.824082784572,0.821938392186,3.2749737
350,0.0615333001535,0.0781510786554,0.0868748964564,0.825462667518,0.767857142857,0.759183673469,0.872464443926,0.828947368421,0.823088455772,3.3659077
360,0.0614455141194,0.078063541543,0.0869802669615,0.826419910657,0.769132653061,0.75612244898,0.873134328358,0.830046948357,0.820973782772,3.4555381
370,0.0614369794797,0.0780457197442,0.0870765039763,0.825781748564,0.769132653061,0.75612244898,0.872608492767,0.830046948357,0.821241585639,3.5484303
380,0.0613185399753,0.078227608606,0.0873234330349,0.824824505424,0.769132653061,0.75612244898,0.871818818585,0.830046948357,0.820973782772,3.6421969
390,0.0612217506922,0.0783542973106,0.087145973443,0.824186343331,0.769132653061,0.757142857143,0.871471891766,0.830046948357,0.821856287425,3.7327704
400,0.0611438512519,0.0782994133212,0.0869730331557,0.825781748564,0.772959183673,0.75612244898,0.872608492767,0.833020637899,0.820705176294,3.821693
