iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.124254674885,0.123471711625,0.125735196671,0.561901723038,0.59056122449,0.54693877551,0.675336959092,0.695156695157,0.66106870229,0.007345
10,0.121568643381,0.121426764526,0.123638904639,0.616464582004,0.626275510204,0.582653061224,0.727066303361,0.728452270621,0.702545454545,0.1066141
20,0.120538119726,0.120741262544,0.122848573192,0.625717932355,0.623724489796,0.592857142857,0.736582079497,0.732061762035,0.712328767123,0.1732504
30,0.117480158708,0.11697484233,0.11967039441,0.658583280153,0.676020408163,0.624489795918,0.761267291388,0.771582733813,0.735251798561,0.2342277
40,0.11684239548,0.1163637787,0.11917723325,0.662412252712,0.674744897959,0.625510204082,0.766445916115,0.772929652716,0.738417676408,0.2890032
50,0.116237707615,0.115243219394,0.118534947768,0.663688576899,0.69387755102,0.642857142857,0.772550712128,0.790940766551,0.755927475593,0.3360309
60,0.114629596626,0.113997203729,0.117170665019,0.667836630504,0.6875,0.65612244898,0.781256566506,0.791843670348,0.772757923129,0.4028337
70,0.114584498911,0.113933801258,0.11729347894,0.667517549458,0.682397959184,0.65306122449,0.781917120134,0.78844519966,0.769959404601,0.4566261
80,0.112437853475,0.111865274833,0.115338081739,0.682195277601,0.696428571429,0.667346938776,0.795061728395,0.801666666667,0.785526315789,0.4955118
90,0.111160867818,0.110997385437,0.114718365136,0.67294192725,0.688775510204,0.652040816327,0.792131413506,0.799671592775,0.77928802589,0.5613131
100,0.110459311529,0.11011927796,0.114234800981,0.684747925973,0.69387755102,0.655102040816,0.800806451613,0.80487804878,0.783333333333,0.6221918
110,0.109787946297,0.109134095374,0.113565542249,0.687300574346,0.700255102041,0.658163265306,0.801779935275,0.807534807535,0.784010315925,0.6624895
120,0.108437507758,0.10796703806,0.112156709517,0.687300574346,0.697704081633,0.664285714286,0.801699716714,0.806530612245,0.787604906391,0.6990059
130,0.10693459486,0.106508503124,0.110680994292,0.687300574346,0.695153061224,0.663265306122,0.801860088961,0.804897959184,0.787644787645,0.7432286
140,0.106315201016,0.105590409281,0.110096980585,0.687619655392,0.686224489796,0.671428571429,0.806483494762,0.803827751196,0.797229219144,0.8032271
150,0.105606736702,0.10496852705,0.109313051402,0.691448627951,0.690051020408,0.671428571429,0.807868070733,0.805755395683,0.79748427673,0.8589406
160,0.105849004625,0.106792326809,0.109960595093,0.681876196554,0.673469387755,0.65,0.78836765018,0.779690189329,0.770261219022,0.9038788
170,0.10520915666,0.105316512141,0.109167906085,0.698787492023,0.691326530612,0.658163265306,0.807973962571,0.8,0.783731439638,0.9657874
180,0.104949940513,0.104832973027,0.108962625975,0.698468410976,0.690051020408,0.657142857143,0.807417974322,0.799339388935,0.782664941785,1.029065
190,0.104359882664,0.104110920048,0.108310049253,0.696553924697,0.692602040816,0.661224489796,0.805322415558,0.800990916598,0.784695201038,1.0902347
200,0.10413518511,0.103723011386,0.108067009285,0.697830248883,0.695153061224,0.667346938776,0.806852947175,0.802642444261,0.789133247089,1.1424962
210,0.103283215519,0.102851653062,0.107317815518,0.700701978302,0.706632653061,0.670408163265,0.808101472995,0.809602649007,0.790395846853,1.2085547
220,0.102614683318,0.102067524611,0.106804591539,0.700701978302,0.704081632653,0.671428571429,0.80825838103,0.80826446281,0.791450777202,1.2555522
230,0.102488601771,0.101926548991,0.106579535207,0.700382897256,0.701530612245,0.668367346939,0.808406447664,0.806930693069,0.789915966387,1.3227568
240,0.101781517614,0.100989733198,0.10588889203,0.69719208679,0.698979591837,0.672448979592,0.806838998575,0.806557377049,0.793036750484,1.3822696
250,0.102296784339,0.102038236533,0.106100438411,0.691767708998,0.702806122449,0.676530612245,0.797738693467,0.803043110735,0.791034937376,1.4241224
260,0.0998314799913,0.0994337590754,0.10382592925,0.695915762604,0.707908163265,0.667346938776,0.79924162629,0.805106382979,0.784960422164,1.4774541
270,0.0997896482753,0.0995744009239,0.103562983099,0.688895979579,0.697704081633,0.666326530612,0.792685519881,0.794805194805,0.782724252492,1.5306799
280,0.0990584592306,0.0990377266838,0.102754757612,0.689534141672,0.692602040816,0.673469387755,0.795114761002,0.793487574979,0.787516600266,1.5957346
290,0.0980577988022,0.0980857791121,0.101771630577,0.69719208679,0.700255102041,0.676530612245,0.79829968119,0.795829713293,0.787675820496,1.6458993
300,0.0970943641133,0.0980346882256,0.100953135292,0.706126356094,0.700255102041,0.678571428571,0.800433369447,0.793315743184,0.784982935154,1.6975348
310,0.0966107958638,0.0977186138039,0.100569878588,0.705169112955,0.691326530612,0.683673469388,0.797634691196,0.784697508897,0.78561549101,1.7622114
320,0.0943671408625,0.0957498929998,0.0983345177188,0.706764518188,0.69387755102,0.692857142857,0.796456256921,0.784560143627,0.78965758211,1.8182416
330,0.0934728539783,0.095130328006,0.0977316896099,0.711550733886,0.686224489796,0.690816326531,0.801143862736,0.781914893617,0.790020790021,1.8726405
340,0.0935470372364,0.0955553434759,0.0980771119185,0.711869814933,0.69387755102,0.691836734694,0.80044198895,0.785330948122,0.78940027894,1.9214313
350,0.0928809145222,0.0945426595567,0.0973811465068,0.713784301213,0.692602040816,0.690816326531,0.800622360525,0.783078307831,0.787666433076,1.98906
360,0.0919621035683,0.0932685177886,0.0968164482811,0.723037651563,0.701530612245,0.698979591837,0.806163465833,0.78880866426,0.791519434629,2.0461534
370,0.0917117367866,0.0932921814732,0.0964988335958,0.722718570517,0.700255102041,0.7,0.806156591568,0.788097385032,0.793248945148,2.110004
380,0.0916080960129,0.0930811778026,0.0960090034363,0.717294192725,0.702806122449,0.712244897959,0.806381118881,0.795793163891,0.805517241379,2.1753436
390,0.0910703794203,0.0929574689617,0.0958187042092,0.719208679004,0.700255102041,0.708163265306,0.806593406593,0.793678665496,0.802213001383,2.2313941
400,0.0908748224721,0.0922493755196,0.0952520988647,0.724952137843,0.72193877551,0.715306122449,0.816673755849,0.814310051107,0.812373907196,2.2727972
410,0.0904485420077,0.091798332015,0.0948621636571,0.728142948309,0.718112244898,0.717346938776,0.817245817246,0.810300429185,0.811436351259,2.3299711
420,0.0903572000256,0.0918597207414,0.0945788200164,0.727504786216,0.725765306122,0.715306122449,0.815868909013,0.814814814815,0.808773132282,2.3780951
430,0.0901453928138,0.0919493485434,0.0944124933199,0.726547543076,0.723214285714,0.722448979592,0.815817751988,0.813413585555,0.813443072702,2.4290165
440,0.0896009813558,0.0915943795599,0.0942856186645,0.72431397575,0.71556122449,0.719387755102,0.812824956672,0.805579773322,0.809160305344,2.4834577
450,0.0896022657441,0.0917566599099,0.0940169507784,0.721442246331,0.705357142857,0.716326530612,0.80749724366,0.795394154119,0.803394625177,2.5353779
460,0.0881025640559,0.0898960412911,0.0927140566619,0.729738353542,0.737244897959,0.722448979592,0.815347721823,0.819614711033,0.810055865922,2.5910533
470,0.0876754906286,0.0895399341801,0.0924554021263,0.736758136567,0.732142857143,0.731632653061,0.820924679835,0.816433566434,0.817993079585,2.6548797
480,0.0872708090202,0.0902196875846,0.0922612815779,0.738991703893,0.739795918367,0.726530612245,0.815599639315,0.815551537071,0.806916426513,2.7180622
490,0.0871373264526,0.0899009218729,0.0923422829343,0.739948947033,0.742346938776,0.723469387755,0.81648277415,0.817359855335,0.805176132279,2.771095
500,0.0868165639753,0.0889672437753,0.0919854762383,0.741863433312,0.74362244898,0.722448979592,0.820262163964,0.821333333333,0.806818181818,2.8252694
510,0.0866922121107,0.088690290719,0.0919133826426,0.744416081685,0.739795918367,0.726530612245,0.822118587608,0.818505338078,0.809929078014,2.8632305
520,0.0866510088197,0.0885351427092,0.0918305297883,0.742820676452,0.737244897959,0.727551020408,0.821444395215,0.817051509769,0.811040339703,2.9221908
530,0.0865707894006,0.0885508644534,0.0918561365642,0.742182514359,0.742346938776,0.728571428571,0.821869488536,0.821238938053,0.812676056338,2.9771453
540,0.0862293202671,0.0880398250835,0.0915199291146,0.746011486918,0.739795918367,0.729591836735,0.82381584772,0.818827708703,0.81245576787,3.0258195
550,0.0859941685851,0.0878833732682,0.0911862829549,0.746330567964,0.74362244898,0.727551020408,0.822346368715,0.818428184282,0.808602150538,3.0848841
560,0.0858019225483,0.0875275007723,0.090945964231,0.742820676452,0.738520408163,0.723469387755,0.815560640732,0.80965645311,0.801465201465,3.1490159
570,0.085468052014,0.087222634953,0.0908345323073,0.754626675175,0.747448979592,0.738775510204,0.828844869797,0.821942446043,0.817923186344,3.2090442
580,0.0851530702487,0.086797103869,0.0905964477189,0.75143586471,0.74362244898,0.737755102041,0.826541972835,0.819407008086,0.817341862118,3.2683806
590,0.0853187425519,0.08714316387,0.0905155320295,0.752074026803,0.742346938776,0.734693877551,0.826213375084,0.817359855335,0.814285714286,3.3324525
600,0.0850955382841,0.0864274273864,0.0905434936407,0.754626675175,0.755102040816,0.736734693878,0.826528310399,0.825136612022,0.815186246418,3.3838199
610,0.084691158069,0.086908090873,0.0904045789883,0.749840459477,0.747448979592,0.738775510204,0.821818181818,0.817343173432,0.814492753623,3.4444253
620,0.084740417532,0.0869232805622,0.0905873514301,0.74952137843,0.747448979592,0.735714285714,0.822598870056,0.818014705882,0.814070351759,3.5058321
630,0.0845986176143,0.0871125709806,0.0904848694682,0.747925973197,0.751275510204,0.731632653061,0.82358195623,0.82320942883,0.813077469794,3.5709178
640,0.0842957426515,0.0868030047092,0.090420574775,0.746011486918,0.748724489796,0.735714285714,0.823268206039,0.823000898473,0.817733990148,3.6219919
650,0.0842784750681,0.0867618026758,0.0903782285142,0.745692405871,0.748724489796,0.735714285714,0.823320771448,0.823000898473,0.81799016163,3.6825121
660,0.0835427083605,0.0863035152616,0.0897797685692,0.753669432036,0.747448979592,0.729591836735,0.822365393465,0.814606741573,0.806428049671,3.7450638
670,0.0829332581655,0.0854646613638,0.0895001214438,0.758774728781,0.755102040816,0.734693877551,0.826764436297,0.821229050279,0.810495626822,3.8108153
680,0.0827531446694,0.0850840816873,0.0891024979381,0.755264837269,0.753826530612,0.741836734694,0.82274092905,0.819457436857,0.814652014652,3.8716246
690,0.0821880019117,0.0847579182415,0.0887630919959,0.758774728781,0.748724489796,0.739795918367,0.823364485981,0.814675446849,0.810971089696,3.9330757
700,0.0821277612712,0.0845190929855,0.0890510335973,0.760689215061,0.748724489796,0.738775510204,0.825500232666,0.815370196813,0.81037037037,3.9949467
710,0.0846186268226,0.0860150318125,0.0909451659031,0.731014677728,0.723214285714,0.717346938776,0.824703680599,0.819015846539,0.814963259853,4.0596593
720,0.0816315520446,0.0840073705534,0.0888421310044,0.760370134014,0.744897959184,0.739795918367,0.827554535017,0.814126394052,0.814545454545,4.1231572
730,0.0813833002622,0.0834730319724,0.0885705016179,0.763241863433,0.748724489796,0.731632653061,0.831133363678,0.81876724931,0.810655147588,4.1706216
740,0.0811760806974,0.0833377186369,0.0883453729765,0.767070835992,0.751275510204,0.74387755102,0.831174838113,0.817927170868,0.816386247257,4.2231079
750,0.0811621877693,0.0832578122565,0.0884412822244,0.768666241225,0.751275510204,0.74693877551,0.833601101675,0.81961147086,0.819505094614,4.2806939
760,0.0811801201164,0.0834288564385,0.0884739626976,0.768347160179,0.751275510204,0.745918367347,0.833103448276,0.819277108434,0.818645302258,4.3441562
770,0.080973209735,0.083042661181,0.0884139247131,0.766113592853,0.751275510204,0.74387755102,0.831300345224,0.81961147086,0.816921954778,4.4083015
780,0.0808775303483,0.082847362463,0.0884653972542,0.76451818762,0.752551020408,0.737755102041,0.830889092576,0.82037037037,0.81363306744,4.4720568
790,0.0807761913214,0.0829208342155,0.0884593423473,0.767070835992,0.753826530612,0.738775510204,0.83378870674,0.822447102116,0.815561959654,4.5345276
800,0.0804524707053,0.0826811361979,0.0885599284103,0.770580727505,0.753826530612,0.737755102041,0.836255978137,0.822447102116,0.815240833932,4.602019
810,0.0804544510715,0.0821783209674,0.0884814645421,0.768347160179,0.75,0.737755102041,0.836265223275,0.82084095064,0.815770609319,4.670265
820,0.0802952219904,0.0822256447065,0.0887270368969,0.769623484365,0.751275510204,0.736734693878,0.835460346399,0.81961147086,0.813314037627,4.7451906
830,0.0802803367817,0.0823829365362,0.0891395328982,0.770899808551,0.760204081633,0.731632653061,0.836371923428,0.826247689464,0.809558291093,4.8237163
840,0.0802441576803,0.0819262996261,0.0883706547297,0.76451818762,0.761479591837,0.739795918367,0.835927078702,0.831985624438,0.820042342978,4.898656
850,0.0799460824227,0.0816744364116,0.0882885147286,0.768985322272,0.761479591837,0.741836734694,0.835902085222,0.829535095716,0.817328519856,4.9708548
860,0.0797491653567,0.0814601530304,0.0880956293669,0.765156349713,0.758928571429,0.740816326531,0.833333333333,0.828025477707,0.816473988439,5.0391002
870,0.0797396657896,0.0814450129603,0.0879738354601,0.767070835992,0.757653061224,0.741836734694,0.83378870674,0.825688073394,0.816533720087,5.1088044
880,0.0796071500253,0.0812498766186,0.0879465242432,0.768666241225,0.758928571429,0.744897959184,0.835638177284,0.826764436297,0.819102749638,5.1747877
890,0.0794955483372,0.0816583276485,0.0883494725441,0.768028079132,0.752551020408,0.734693877551,0.835706214689,0.823315118397,0.812949640288,5.2439675
900,0.0792148981704,0.0812756403245,0.0879119930467,0.767070835992,0.755102040816,0.738775510204,0.834392014519,0.824175824176,0.815295815296,5.3141829
910,0.0791568936054,0.0809380792779,0.0882806306896,0.76451818762,0.75637755102,0.737755102041,0.833258020786,0.826205641492,0.81417208966,5.376953
920,0.0789163155371,0.0806608270905,0.0878855142698,0.768666241225,0.758928571429,0.741836734694,0.835563619868,0.827397260274,0.81679942071,5.4459617
930,0.0787390756533,0.0811032875876,0.0875411223979,0.774409700064,0.769132653061,0.752040816327,0.835772357724,0.829727187206,0.820133234641,5.5160371
940,0.0785853847123,0.0810263429833,0.0875674062048,0.772495213784,0.760204081633,0.745918367347,0.835296835297,0.824953445065,0.817314746882,5.5813145
950,0.0785954838933,0.0806819344833,0.0877078546381,0.776962348437,0.771683673469,0.744897959184,0.83875432526,0.833178005592,0.816715542522,5.6489786
960,0.082455370117,0.0855629763925,0.0921293002108,0.766432673899,0.746173469388,0.737755102041,0.817091454273,0.795477903392,0.796516231196,5.7079362
970,0.0783998795614,0.0804300271459,0.0877988597047,0.773133375877,0.765306122449,0.742857142857,0.837038734815,0.829944547135,0.816593886463,5.7778135
980,0.0783073307563,0.0800761589158,0.0875211962578,0.772814294831,0.766581632653,0.742857142857,0.836846929423,0.831024930748,0.817126269956,5.8486341
990,0.0784802880102,0.0802270198386,0.0877171813504,0.771218889598,0.764030612245,0.736734693878,0.836934273368,0.830430797434,0.813583815029,5.9181584
1000,0.0782965543017,0.0800778402829,0.0873837691442,0.772495213784,0.767857142857,0.741836734694,0.83620491615,0.831168831169,0.816,5.98624
1010,0.0781712742342,0.0801898313596,0.0879956845058,0.771537970645,0.772959183673,0.744897959184,0.836604290278,0.836996336996,0.818313953488,6.0626597
1020,0.0783617336192,0.0797608436632,0.0876967678303,0.772814294831,0.769132653061,0.745918367347,0.836846929423,0.832871652816,0.819695872556,6.1289466
1030,0.0782336301782,0.0800949108338,0.0878239525549,0.775366943204,0.760204081633,0.752040816327,0.838680109991,0.826247689464,0.823785351704,6.1982955
1040,0.0780415238189,0.0796966724731,0.0874395234371,0.77664326739,0.764030612245,0.75306122449,0.83878397052,0.828226555246,0.823357664234,6.269348
1050,0.0779474700225,0.0794014308254,0.0873971350661,0.777281429483,0.761479591837,0.751020408163,0.839318600368,0.827012025902,0.821637426901,6.3490416
1060,0.077992223987,0.079604701423,0.0874191413324,0.776962348437,0.762755102041,0.748979591837,0.83875432526,0.826815642458,0.819648093842,6.4218111
1070,0.0779121853138,0.0797388473073,0.0873764782216,0.776324186343,0.764030612245,0.747959183673,0.838292964245,0.828226555246,0.81957633309,6.4929891
1080,0.0778234002536,0.0797200900065,0.0873166966101,0.778557753669,0.765306122449,0.75,0.839648798521,0.828996282528,0.82103725347,6.5662727
1090,0.0783009157948,0.080998622618,0.088260241633,0.773771537971,0.755102040816,0.748979591837,0.837942857143,0.823529411765,0.822766570605,6.641617
1100,0.0775966142263,0.0794534240231,0.087129953167,0.773771537971,0.766581632653,0.755102040816,0.835841630007,0.829450139795,0.824304538799,6.7008629
1110,0.0774868496679,0.0794632720361,0.0872443383988,0.777281429483,0.766581632653,0.751020408163,0.838873499538,0.829131652661,0.821376281113,6.7744254
1120,0.0775554265193,0.0798470615798,0.087333625383,0.778238672623,0.765306122449,0.755102040816,0.839083121093,0.827715355805,0.824304538799,6.8514103
1130,0.0774262650659,0.0796128116942,0.0868501720076,0.776324186343,0.767857142857,0.75612244898,0.837543453071,0.829268292683,0.824651504035,6.9157184
1140,0.0774236150991,0.0793335189399,0.0868540017024,0.77472878111,0.775510204082,0.75612244898,0.837551771744,0.836431226766,0.826434277415,6.9705784
1150,0.0773615580968,0.0792913018166,0.0865357315217,0.77472878111,0.771683673469,0.748979591837,0.837476979742,0.833797585887,0.820175438596,7.0459147
1160,0.0773759075579,0.0793125472231,0.0865876286015,0.775047862157,0.774234693878,0.747959183673,0.837819185645,0.835959221501,0.81957633309,7.1174012
1170,0.0772698299039,0.0791582272871,0.0865237600922,0.772814294831,0.771683673469,0.752040816327,0.836020267158,0.833488372093,0.823272727273,7.1926832
